plant_height	ear_height
215.7272727	84.40909091
206.9090909	77.54545455
220.8181818	91.27272727
225.5	129.25
191.9090909	81.81818182
219.4545455	105.7272727
207.0909091	93.81818182
209.5454545	102.8181818
236	93.36363636
215.4545455	99.90909091
210.2727273	89.54545455
241	92.18181818
226.5454545	99.18181818
216.5454545	95.45454545
207.2727273	84.63636364
205.0909091	77.18181818
203.5454545	83.54545455
212.8181818	79.72727273
229.8181818	100.1818182
222.5454545	97.54545455
226.7272727	98.27272727
214.6363636	90.90909091
233.5454545	101.2727273
209.7272727	88.45454545
212.6363636	95.45454545
218.2727273	96.54545455
224.3636364	86.63636364
219.2727273	84
239.2727273	102.4545455
220.6363636	83.18181818
222.8181818	79.36363636
205.9090909	81.72727273
233.9090909	119.3636364
190.9090909	69
215.9090909	108.8181818
223.5454545	89.90909091
206.1818182	102.1818182
237.6363636	88.18181818
220.5454545	89.54545455
223.7272727	85.09090909
182.1818182	72.27272727
214.0909091	99.63636364
227.6363636	90.36363636
238.5454545	96.36363636
218.1818182	85.63636364
210.6363636	86.54545455
214.5454545	86.81818182
218.2727273	98.09090909
225.3636364	98.45454545
188.6363636	72.54545455
228.6363636	109.3636364
228	125.3636364
220.8181818	100.7272727
240.4545455	94.27272727
239.5454545	117.3636364
223.9090909	118.4545455
212.6363636	101.8181818
232.3636364	123
221.0909091	74.09090909
217.8181818	105.9090909
220.2727273	92.18181818
217.6363636	91.72727273
211.1818182	92.09090909
223.2727273	110.4545455
209.3636364	88.72727273
217.4545455	111.0909091
248.4545455	119.7272727
193.6363636	79.45454545
238.9090909	115.2727273
204.0909091	77.63636364
212.3636364	82.90909091
212.4545455	109
190.3636364	83.45454545
246.4545455	111.5454545
208.3636364	96.63636364
211.1818182	82.27272727
223.9090909	79.45454545
219	79.90909091
231.6363636	97.27272727
228.3636364	106.3636364
224.2727273	81.72727273
186.8181818	67.81818182
209.8181818	94.90909091
210.2727273	77.54545455
232.0909091	101.3636364
222.9090909	85.72727273
249.8181818	139.5454545
231.4545455	101.8181818
232.4545455	109.5454545
206	85.45454545
230.9090909	81.36363636
216.9090909	100.6363636
192.3636364	77.18181818
211.0909091	85.45454545
233.0909091	98.36363636
230.0909091	96.45454545
230.4545455	96.90909091
219.5454545	100.6363636
213.0909091	98.09090909
234.8181818	106.3636364
